タイトル,タイトルURL,タイトル2,タイトル3,タイトル4,タイトル5,タイトル6,価格8,概要,概要9,タイトル10,日時,タイトル11,タイトル12,最低価格,評価スコア,予約時間（分）,評価ランク
FORZA　ホテルフォルツァ金沢,https://www.jalan.net/yad378719/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=378719&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y9/Y378719/Y378719374.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y9/Y378719/Y378719663.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y9/Y378719/Y378719526.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y9/Y378719/Y378719928.jpg,"1名 3,200円～",4.6,"1,102件",部屋、清潔感、朝食高評価,29分前に予約されました,【アクセス】,金沢駅徒歩10分。または北鉄バス「武蔵ヶ辻・近江市場前」バス停下車目の前。コンビニまで徒歩約3分,3200.0,4.6,,B（良好）
THE HOTEL SANRAKU KANAZAWA（ザ ホテル山楽 金沢）,https://www.jalan.net/yad350199/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=350199&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y9/Y350199/Y350199134.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y9/Y350199/Y350199092.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y9/Y350199/Y350199733.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y9/Y350199/Y350199601.jpg,"1名 7,000円～",4.8,376件,朝食、接客、清潔感高評価,2時間前に予約されました,【アクセス】,金沢駅東口③・⑦～⑪番乗り場より「武蔵ヶ辻・近江町市場」バス停より徒歩4分／無料シャトルバスあり,7000.0,4.8,,A（非常好）
ホテル・トリフィート金沢,https://www.jalan.net/yad304736/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=304736&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y6/Y304736/Y304736146.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y304736/Y304736248.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y304736/Y304736240.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y304736/Y304736105.jpg,"1名 4,270円～",4.6,431件,清潔感、朝食、風呂高評価,たった今予約されました,【アクセス】,JR金沢駅兼六園口（東口）から徒歩4分◇アクセス抜群！好立地☆彡,4270.0,4.6,,B（良好）
天然温泉 加賀の宝泉 御宿 野乃金沢（ドーミーインチェーン）,https://www.jalan.net/yad388181/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=388181&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y1/Y388181/Y388181058.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y1/Y388181/Y388181139.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y1/Y388181/Y388181327.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y1/Y388181/Y388181063.jpg,"1名 5,500円～",4.5,"1,074件",朝食、風呂、清潔感高評価,たった今予約されました,【アクセス】,JR金沢駅より北鉄バス乗車、「武蔵ケ辻・近江町市場」バス停下車徒歩約2分。,5500.0,4.5,,B（良好）
ホテルインターゲート金沢,https://www.jalan.net/yad362769/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=362769&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y9/Y362769/Y362769583.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y9/Y362769/Y362769816.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y9/Y362769/Y362769779.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y9/Y362769/Y362769921.jpg,"1名 3,800円～",4.5,84件,部屋、清潔感、朝食高評価,36分前に予約されました,【アクセス】,JR金沢駅からバス「南町・尾山神社」迄7分下車1分/小松空港からバス「武蔵ヶ辻・近江町市場」迄50分下車7分,3800.0,4.5,,B（良好）
金沢湯涌温泉　百楽荘,https://www.jalan.net/yad379790/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=379790&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y0/Y379790/Y379790146.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y379790/Y379790193.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y379790/Y379790083.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y379790/Y379790129.jpg,"1名 35,200円～",4.9,42件,夕食、部屋、接客高評価,3時間前に予約されました,【アクセス】,●金沢駅より車で35分●兼六園より車で20分,35200.0,4.9,,A（非常好）
OMO5金沢片町 by 星野リゾート,https://www.jalan.net/yad362327/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=362327&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y7/Y362327/Y362327115.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y7/Y362327/Y362327123.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y7/Y362327/Y362327101.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y7/Y362327/Y362327059.jpg,"1名 4,500円～",4.7,164件,清潔感、部屋、接客高評価,3時間前に予約されました,【アクセス】,「金沢」駅東口の路線バス乗り場から「香林坊」駅までバスで約10分。「香林坊」駅より徒歩約4分,4500.0,4.7,,A（非常好）
ホテル日航金沢,https://www.jalan.net/yad321280/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=321280&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y0/Y321280/Y321280AQ0.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y321280/Y321280AO5.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y321280/Y321280A54.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y321280/Y321280Aa7.jpg,"1名 6,800円～",4.6,"1,789件",朝食、接客、清潔感高評価,1時間前に予約されました,【アクセス】,JR金沢駅兼六園口（東口）より徒歩約3分（地下道で直結）,6800.0,4.6,,B（良好）
金沢白鳥路　ホテル山楽,https://www.jalan.net/yad388405/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=388405&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y5/Y388405/Y388405AB3.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y388405/Y388405AX9.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y388405/Y388405C12.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y388405/Y388405Bw2.jpg,"1名 6,000円～",4.4,"2,441件",朝食、部屋、清潔感高評価,たった今予約されました,【アクセス】,金沢駅より車で約10分。バス約15分「兼六園下・金沢城」下車バス停より徒歩5分。無料シャトルバス運行中。,6000.0,4.4,,B（良好）
ダイワロイネットホテル金沢駅西口,https://www.jalan.net/yad376255/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=376255&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y5/Y376255/Y376255482.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y376255/Y376255486.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y376255/Y376255454.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y376255/Y376255483.jpg,"1名 4,450円～",4.7,235件,部屋、清潔感、風呂高評価,42分前に予約されました,【アクセス】,JR「金沢駅」港口（西口）より徒歩約4分。小松空港→空港バス約40分。金沢西IC→約15分、金沢東IC→約10分,4450.0,4.7,,A（非常好）
スマイルホテル金沢西口駅前（２０２１年１１月２８日オープン）,https://www.jalan.net/yad321961/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=321961&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y1/Y321961/Y321961160.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y1/Y321961/Y321961054.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y1/Y321961/Y321961057.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y1/Y321961/Y321961152.jpg,"1名 2,685円～",4.4,113件,部屋、清潔感、朝食高評価,33分前に予約されました,【アクセス】,JR北陸本線「金沢駅西口」より徒歩４分。北陸自動車道金沢西・東ICより車で約１２分。,2685.0,4.4,,B（良好）
ダイワロイネットホテル金沢ＭＩＹＡＢＩ,https://www.jalan.net/yad380782/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=380782&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y2/Y380782/Y380782591.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y380782/Y380782585.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y380782/Y380782655.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y380782/Y380782556.jpg,"1名 4,398円～",4.5,88件,部屋、清潔感、風呂高評価,28分前に予約されました,【アクセス】,JR北陸新幹線「金沢駅」金沢港口（西口）より徒歩約3分／北陸自動車道金沢「西・東IC」より車で約15分,4398.0,4.5,,B（良好）
天然温泉加賀の湧泉　ドーミーイン金沢,https://www.jalan.net/yad349530/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=349530&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y0/Y349530/Y349530832.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y349530/Y349530633.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y349530/Y349530920.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y349530/Y349530939.jpg,"1名 5,000円～",4.4,"10,211件",風呂、朝食、接客高評価,1時間前に予約されました,【アクセス】,JR金沢駅東口より徒歩2分,5000.0,4.4,,B（良好）
金沢　彩の庭ホテル,https://www.jalan.net/yad359852/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=359852&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y2/Y359852/Y359852548.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y359852/Y359852087.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y359852/Y359852482.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y359852/Y359852418.jpg,"1名 8,700円～",4.9,"1,015件",部屋、接客、清潔感高評価,1時間前に予約されました,【アクセス】,JR金沢駅より無料送迎（定時便）あり。徒歩では15分。お車でお越しの際は金沢西ICまたは金沢東ICより10分。,8700.0,4.9,,A（非常好）
ちりはまホテルゆ華,https://www.jalan.net/yad300454/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=300454&callbackHistFlg=1,石川県 > 羽咋・かほく,https://cdn.jalan.jp/jalan/images/pictL/Y4/Y300454/Y300454795.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y4/Y300454/Y300454890.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y4/Y300454/Y300454747.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y4/Y300454/Y300454793.jpg,"1名 10,000円～",4.5,"1,344件",風呂、夕食、接客高評価,1時間前に予約されました,【アクセス】,金沢より車で40分。観光に最適。のと里山海道・千里浜ICすぐそば。JR羽咋駅よりタクシーで5分,10000.0,4.5,,B（良好）
ホテルマイステイズプレミア金沢,https://www.jalan.net/yad360776/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=360776&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y6/Y360776/Y360776296.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y360776/Y360776279.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y360776/Y360776300.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y360776/Y360776327.jpg,"1名 2,600円～",4.5,61件,部屋、接客、清潔感高評価,44分前に予約されました,【アクセス】,JR金沢駅 西口から徒歩5分／北陸自動車道金沢東ICから15分／小松空港から車・バスで40分,2600.0,4.5,,B（良好）
ホテルリソルトリニティ金沢,https://www.jalan.net/yad321184/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=321184&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y4/Y321184/Y321184918.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y4/Y321184/Y321184960.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y4/Y321184/Y321184972.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y4/Y321184/Y321184978.jpg,"1名 2,600円～",4.5,94件,部屋、清潔感、接客高評価,35分前に予約されました,【アクセス】,JR金沢駅より徒歩12分。金沢駅兼六園口バス乗り場③⑧⑨⑩番より５分「武蔵ヶ辻・近江町市場」下車徒歩1分,2600.0,4.5,,B（良好）
ザ・スクエアホテル金沢,https://www.jalan.net/yad384635/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=384635&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y5/Y384635/Y384635139.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y384635/Y384635148.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y384635/Y384635201.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y384635/Y384635146.jpg,"1名 3,150円～",4.4,397件,部屋、朝食、清潔感高評価,57分前に予約されました,【アクセス】,「金沢駅」兼六園口バスターミナル(8)(9)(10)番乗り場からバスで「武蔵ヶ辻・近江町市場」下車、徒歩1分,3150.0,4.4,,B（良好）
ホテルビスタ金沢,https://www.jalan.net/yad392384/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=392384&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y4/Y392384/Y392384616.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y4/Y392384/Y392384533.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y4/Y392384/Y392384507.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y4/Y392384/Y392384397.jpg,"1名 3,300円～",4.6,689件,部屋、清潔感、風呂高評価,1時間前に予約されました,【アクセス】,JR金沢駅西口から徒歩約7分、北陸自動車道金沢西・東インターから車で約15分,3300.0,4.6,,B（良好）
雨庵　金沢,https://www.jalan.net/yad384336/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=384336&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y6/Y384336/Y384336141.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y384336/Y384336084.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y384336/Y384336169.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y384336/Y384336039.jpg,"1名 7,020円～",5.0,110件,部屋、接客、清潔感高評価,たった今予約されました,【アクセス】,小松空港からリムジンバス「香林坊行き」乗車、約50分「武蔵ヶ辻・近江町市場」下車、徒歩5分,7020.0,5.0,,A（非常好）
ＳＯＫＩ　ＫＡＮＡＺＡＷＡ（２０２２年１１月１９日ＯＰＥＮ）,https://www.jalan.net/yad357681/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=357681&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y1/Y357681/Y357681490.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y1/Y357681/Y357681326.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y1/Y357681/Y357681458.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y1/Y357681/Y357681394.jpg,"1名 4,399円～",4.7,83件,部屋、清潔感、朝食高評価,43分前に予約されました,【アクセス】,金沢駅兼六園口バスターミナル6番乗り場から乗車し、「武蔵ヶ辻・近江町市場前」で下車、その後徒歩1分。,4399.0,4.7,,A（非常好）
天然温泉　鼓門の湯　スーパーホテルPremier金沢駅東口,https://www.jalan.net/yad355732/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=355732&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y2/Y355732/Y355732251.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y355732/Y355732579.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y355732/Y355732121.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y355732/Y355732375.jpg,"1名 4,180円～",4.4,711件,接客、朝食、清潔感高評価,1時間前に予約されました,【アクセス】,金沢駅東口より徒歩7分。金沢東ICより約15分。※ホテル専用駐車場･駐輪場はございません。近隣駐車場案内,4180.0,4.4,,B（良好）
アパホテル〈金沢駅前〉,https://www.jalan.net/yad340399/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=340399&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y9/Y340399/Y340399AL1.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y9/Y340399/Y340399AO4.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y9/Y340399/Y340399AC2.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y9/Y340399/Y340399AI7.jpg,"1名 4,200円～",4.2,122件,朝食、風呂、清潔感高評価,1時間前に予約されました,【アクセス】,「金沢駅」金沢港口(西口)徒歩1分！ 小松空港から金沢駅直通バスで40分！,4200.0,4.2,,C（普通）
ＫＯＫＯ　ＨＯＴＥＬ　Ｐｒｅｍｉｅｒ　金沢香林坊,https://www.jalan.net/yad334551/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=334551&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y1/Y334551/Y334551121.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y1/Y334551/Y334551063.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y1/Y334551/Y334551080.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y1/Y334551/Y334551039.jpg,"1名 3,150円～",4.3,202件,清潔感、部屋、朝食高評価,2時間前に予約されました,【アクセス】,バスにてJR金沢駅東口バスターミナル 8・9番乗り場から「香林坊」下車徒、歩約1分,3150.0,4.3,,B（良好）
加賀屋グループ　料理旅館　金沢茶屋,https://www.jalan.net/yad326607/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=326607&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y7/Y326607/Y326607198.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y7/Y326607/Y326607197.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y7/Y326607/Y326607147.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y7/Y326607/Y326607068.jpg,"1名 17,600円～",5.0,73件,朝食、夕食、部屋高評価,,【アクセス】,北陸線金沢駅下車徒歩３分。北陸道金沢東ＩＣよりＪＲ金沢駅方面へ。金沢駅兼六園口から５０ｍ,17600.0,5.0,,A（非常好）
変なホテル金沢　香林坊,https://www.jalan.net/yad385536/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=385536&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y6/Y385536/Y385536096.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y385536/Y385536443.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y385536/Y385536441.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y385536/Y385536087.jpg,"1名 3,130円～",4.3,371件,清潔感、部屋、風呂高評価,2時間前に予約されました,【アクセス】,ＪＲ金沢駅東口バスターミナル 8・9番乗り場よりバスで約10分、「香林坊」で下車。バスを降りて徒歩2分。,3130.0,4.3,,B（良好）
三井ガーデンホテル金沢,https://www.jalan.net/yad334419/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=334419&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y9/Y334419/Y334419040.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y9/Y334419/Y334419289.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y9/Y334419/Y334419076.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y9/Y334419/Y334419284.jpg,"1名 4,500円～",4.5,396件,朝食、夕食、清潔感高評価,1時間前に予約されました,【アクセス】,金沢駅よりお車で約8分、徒歩約17分。金沢駅より北鉄バス乗車、「南町・尾山神社前」バス停下車徒歩約2分。,4500.0,4.5,,B（良好）
金沢マンテンホテル駅前（マンテンホテルチェーン）,https://www.jalan.net/yad331056/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=331056&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y6/Y331056/Y331056557.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y331056/Y331056810.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y331056/Y331056565.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y331056/Y331056023.jpg,"1名 4,000円～",4.2,"5,271件",朝食、風呂、接客高評価,19分前に予約されました,【アクセス】,ＪＲ金沢駅西口より徒歩５分。西口から、右手の高架に沿って直進。金沢東ＩＣ・金沢西ＩＣより車で約１０分,4000.0,4.2,,C（普通）
